timestamp,batch_id,modelo,icrl,oponente,victoria,turnos,pokemon_vivos,tokens_gastados,decisiones,cambios,forzados,fallbacks
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,14,0,44574,19,1,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,1,14,3,39987,17,1,3,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,1,18,1,54086,23,1,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,16,0,49674,21,4,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,17,0,51813,22,2,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,1,26,1,73793,31,3,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,1,19,3,51897,22,0,3,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,1,19,2,54567,23,3,4,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,1,23,1,66026,28,6,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,18,0,54357,23,3,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,1,23,2,64853,27,5,4,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,1,22,3,59632,25,1,3,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,1,20,2,55590,24,1,4,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,14,0,44438,19,5,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,16,0,48877,21,7,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,17,0,52327,22,2,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,16,0,49451,21,0,5,0
2026-06-28 00:14:48,20260628_001448,gpt-4o-mini,False,HeuristicPlayer,0,25,0,71933,30,16,5,0
