timestamp,batch_id,modelo,oponente,victoria,turnos,pokemon_vivos,tokens_gastados,decisiones,cambios,forzados,fallbacks
2026-06-21 15:31:09,20260621_153109,gpt-4o-mini,HeuristicPlayer,0,11,0,37309,16,1,5,0
2026-06-21 15:31:09,20260621_153109,gpt-4o-mini,HeuristicPlayer,0,18,0,54108,23,2,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,19,0,62393,24,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,16,3,49599,19,2,3,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,11,0,41283,16,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,18,0,59866,23,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,17,0,59775,23,0,5,1
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,19,0,62201,24,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,21,0,67916,26,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,29,0,88362,34,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,13,0,45908,18,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,13,0,46547,18,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,16,1,54772,21,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,17,3,52836,20,0,3,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,17,0,56565,22,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,24,2,70108,28,0,4,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,17,0,56934,22,1,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,14,0,48931,19,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,18,0,60071,23,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,13,0,46642,18,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,13,0,46562,18,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,13,1,45629,18,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,1,12,3,37954,15,0,3,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,15,0,53580,21,0,5,1
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,14,0,49431,19,0,5,0
2026-06-21 22:00:41,20260621_220041,meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,0,18,0,58901,23,0,5,0
