modelo,oponente,N,victorias,WR,WR_lo,WR_hi,turnos_media,vivos_media,tokens_partida,tokens_decision,cambios_pct,forzados_total,fallback_pct
gpt-4o-mini,HeuristicPlayer,50,16,0.32,0.20758044093999403,0.45810557136276076,19.56,0.6,57828.48,2354.5798045602605,0.18044354838709678,236,0.013029315960912053
meta-llama/llama-3.3-70b-instruct,HeuristicPlayer,50,14,0.28,0.17474014357680362,0.4166538714598967,17.64,0.54,58190.24,2583.936056838366,0.03724604966139955,240,0.003552397868561279
